,i,q
182,0.015814057,0.020228442
183,0.015674954,0.020191878
184,0.015534393,0.020157177
185,0.015392691,0.020124143
186,0.015250026,0.020092502
187,0.015106227,0.02006216
188,0.014961674,0.020032564
189,0.014816607,0.020004347
190,0.014671422,0.019977292
191,0.014526129,0.019950738
192,0.014381262,0.019924492
193,0.014236794,0.01989816
194,0.014093124,0.019871881
195,0.013950589,0.019844774
196,0.013809804,0.019816805
197,0.013671201,0.019787952
198,0.013534486,0.019758265
199,0.013400118,0.019727133
200,0.0132680535,0.019694569
201,0.013139111,0.019660454
202,0.013013336,0.019623948
203,0.012891583,0.019585129
204,0.012773932,0.019544082
205,0.012660831,0.019500216
206,0.012552295,0.019453747
207,0.012448446,0.019404717
208,0.012350182,0.019352552
209,0.012257416,0.019297251
210,0.012170451,0.019238492
211,0.012089922,0.019176345
212,0.012015938,0.01911083
213,0.011947906,0.019041844
214,0.01188665,0.018969573
215,0.0118320985,0.018893534
216,0.011784329,0.018813547
217,0.0117438715,0.018730147
218,0.011710954,0.018642565
219,0.011685499,0.018551582
220,0.011667647,0.018456541
221,0.011657823,0.01835763
222,0.011655165,0.018255426
223,0.011659582,0.01814961
224,0.011671557,0.018040093
225,0.011690231,0.017926762
226,0.011715752,0.017809696
227,0.0117480755,0.017689142
228,0.011787295,0.01756483
229,0.011833194,0.017436845
230,0.011885512,0.017305369
231,0.011944015,0.017170325
232,0.012008467,0.017031552
233,0.01207861,0.016888935
234,0.012154027,0.01674294
235,0.012234591,0.01659323
236,0.012319737,0.01644025
237,0.012409027,0.016283669
238,0.012502153,0.016123665
239,0.012598783,0.015960341
240,0.012698295,0.015793294
241,0.012800009,0.015622855
242,0.012903704,0.015449167
243,0.013009215,0.015272034
244,0.013116127,0.015091371
245,0.013223907,0.014907116
246,0.013331963,0.014719564
247,0.0134398,0.014528571
248,0.013547086,0.014334076
249,0.013653427,0.0141357165
250,0.013758505,0.013934252
251,0.013862096,0.0137295425
252,0.013963558,0.013521488
253,0.014062942,0.013310718
254,0.0141594,0.0130963875
255,0.014252942,0.01287887
256,0.014343347,0.012658535
257,0.01443034,0.012435405
258,0.014513374,0.012209332
259,0.014592181,0.011981054
260,0.014666314,0.011750507
261,0.01473609,0.011517759
262,0.014801111,0.01128305
263,0.014861064,0.011046332
264,0.014916315,0.010808394
265,0.014966331,0.010569211
266,0.01501141,0.010329257
267,0.015051502,0.010088894
268,0.015086602,0.009847604
269,0.01511658,0.009606341
270,0.015141961,0.009365182
271,0.015162714,0.009124807
272,0.0151789365,0.008885058
273,0.015191265,0.008645518
274,0.015199739,0.008407468
275,0.015204368,0.008170932
276,0.015205768,0.007936696
277,0.015203749,0.00770498
278,0.015198694,0.007476047
279,0.0151904235,0.007250382
280,0.015179575,0.0070280773
281,0.015166713,0.0068095247
282,0.015151843,0.0065955063
283,0.015135378,0.0063864584
284,0.015117605,0.0061824583
285,0.015098715,0.0059839217
286,0.015078802,0.0057908385
287,0.015058423,0.0056036995
288,0.015038297,0.005422934
289,0.015018689,0.0052486695
290,0.014999979,0.005081235
291,0.0149826035,0.0049208086
292,0.014966846,0.00476752
293,0.014952754,0.0046218163
294,0.01494047,0.004483681
295,0.014930142,0.0043537277
296,0.0149216065,0.004231906
297,0.014915161,0.0041183797
298,0.01491186,0.0040132934
299,0.014911165,0.0039168797
300,0.01491333,0.0038293088
301,0.014918261,0.0037499808
302,0.014926027,0.0036794136
303,0.014936881,0.0036174376
304,0.014950607,0.003564168
305,0.014967155,0.0035199067
306,0.014986461,0.0034845143
307,0.0150085995,0.0034578606
308,0.01503322,0.0034396206
309,0.015060564,0.0034298003
310,0.015090305,0.0034277174
311,0.015122648,0.003433249
312,0.015157152,0.0034466449
313,0.015193661,0.0034673132
314,0.015232201,0.0034956639
315,0.015272704,0.0035306592
316,0.015314778,0.00357278
317,0.015358244,0.0036214327
318,0.01540237,0.003676247
319,0.015447008,0.0037372147
320,0.015492087,0.0038036855
321,0.015537405,0.003875662
322,0.01558248,0.0039524855
323,0.015626943,0.0040341457
324,0.015670564,0.0041205683
